echo_number,time_ms,peak_mV,amplitude_mV,sigma_amplitude_mV
1,0.9800022,166.0,47.90042918454936,1.3393505297283679
2,2.990002,164.0,45.90042918454935,1.3393505297283679
3,5.050001999999999,160.0,41.90042918454935,1.3393505297283679
4,6.970002,158.0,39.90042918454935,1.3393505297283679
5,9.010002,152.0,33.900429184549346,1.3393505297283679
6,11.04,156.0,37.900429184549346,1.3393505297283679
7,13.010000000000002,150.0,31.900429184549342,1.3393505297283679
8,14.99,152.0,33.900429184549346,1.3393505297283679
9,17.0,150.0,31.900429184549342,1.3393505297283679
10,18.970000000000002,150.0,31.900429184549342,1.3393505297283679
11,21.03,146.0,27.90042918454934,1.3393505297283679
12,23.0,144.0,25.90042918454934,1.3393505297283679
13,25.04,141.99999999999997,23.900429184549335,1.3393505297283679
14,26.96,146.0,27.90042918454934,1.3393505297283679
15,28.98,141.99999999999997,23.900429184549335,1.3393505297283679
16,30.970000000000002,141.99999999999997,23.900429184549335,1.3393505297283679
17,33.029999999999994,140.0,21.90042918454936,1.3393505297283679
18,34.97,140.0,21.90042918454936,1.3393505297283679
19,36.99,138.0,19.90042918454936,1.3393505297283679
20,39.010000000000005,138.0,19.90042918454936,1.3393505297283679
21,41.0,134.0,15.900429184549356,1.3393505297283679
22,42.98,136.0,17.900429184549356,1.3393505297283679
23,45.01,136.0,17.900429184549356,1.3393505297283679
24,46.980000000000004,136.0,17.900429184549356,1.3393505297283679
25,49.050000000000004,132.0,13.900429184549354,1.3393505297283679
26,50.99,134.0,15.900429184549356,1.3393505297283679
27,52.94,130.0,11.900429184549353,1.3393505297283679
28,55.08,130.0,11.900429184549353,1.3393505297283679
29,57.0,132.0,13.900429184549354,1.3393505297283679
30,59.01,134.0,15.900429184549356,1.3393505297283679
31,60.99,130.0,11.900429184549353,1.3393505297283679
32,63.02,130.0,11.900429184549353,1.3393505297283679
33,64.97999999999999,130.0,11.900429184549353,1.3393505297283679
34,67.02,130.0,11.900429184549353,1.3393505297283679
35,69.02,128.0,9.90042918454935,1.3393505297283679
36,71.0,128.0,9.90042918454935,1.3393505297283679
